c_prozedur_code;c_prozedur_katalog
1-513.9;OPS 2018
1-513.9;OPS 2019
1-513.X;OPS 2006
1-513.X;OPS 2011
1-513.X;OPS 2018
1-513.X;OPS 2022
1-514.0;OPS 2012
1-514.0;ops_v21
1-514.1;OPS 2020
1-514.1;OPS 2021
1-515.1;ICPM
1-519.X;ops_v21
1-519.Y;ICPM
1-520;OPS 2005
1-520;OPS 2006
1-520;OPS 2010
1-520;OPS 2020
1-520;OPS 2021
1-522;OPS 2014
1-522;OPS 2016
1-529.0;ICPM
1-529.0;OPS 2008
1-529.0;OPS 2011
1-529.0;OPS 2013
1-529.0;OPS 2014
1-529.0;OPS 2020
1-529.2;OPS 2013
1-529.4;ICPM
1-529.5;OPS 2011
1-529.5;OPS 2012
1-529.5;OPS 2013
1-529.6;OPS 2020
1-529.7;OPS 2014
1-529.8;OPS 2007
1-529.8;OPS 2021
1-529.X;OPS 2007
1-529.Y;OPS 2013
1-531;OPS 2017
1-531;OPS 2018
1-531;OPS 2020
1-532.X;OPS 2010
1-532.Y;OPS 2018
1-537;OPS 2004
1-537;OPS 2010
1-537;OPS 2012
1-537;OPS 2017
1-537;ops_v21
1-538;OPS 2014
1-539;OPS 2008
1-539;OPS 2013
1-540;OPS 2005
1-541;ICPM
1-542;OPS 2020
1-544;OPS 2004
1-545.0;OPS 2007
1-545.0;OPS 2008
1-545.0;OPS 2009
1-545.1;OPS 2013
1-545.1;OPS 2015
1-545.1;OPS 2022
1-545.2;OPS 2004
1-545.2;OPS 2005
1-545.2;ops_v20
1-545.3;OPS 2005
1-545.3;OPS 2010
1-545.X;OPS 2009
1-545.X;OPS 2015
1-545.X;OPS 2020
1-545.Y;OPS 2005
1-545.Y;OPS 2016
1-545.Y;OPS 2022
1-545.Y;ops_v20
1-546;ICPM
1-546;OPS 2013
1-546.1;OPS 2005
1-546.1;OPS 2011
1-546.X;OPS 2007
1-546.Y;OPS 2010
1-546.Y;ops_v20
1-547;ICPM
1-547;OPS 2005
1-547;OPS 2009
1-547;OPS 2019
1-548;OPS 2004
1-548;OPS 2011
1-548;OPS 2015
1-549.0;OPS 2006
1-549.0;OPS 2019
